obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
527;25;37.879;82;37.273;195;39.394;284;35.859;305;33.009;254;32.071;150;30.303;62;28.182;21;31.818;6;50.000;0;0.000;1384;33.897
528;12;18.182;28;12.727;52;10.505;80;10.101;86;9.307;67;8.460;38;7.677;14;6.364;2;3.030;0;0.000;0;0.000;379;9.282
529;13;19.697;65;29.545;177;35.758;330;41.667;453;49.026;442;55.808;302;61.010;145;65.909;49;74.242;10;83.333;1;100.000;1987;48.665
530;4;6.061;7;3.182;9;1.818;9;1.136;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
531;19;28.788;64;29.091;110;22.222;133;16.793;98;10.606;44;5.556;13;2.626;1;0.455;0;0.000;0;0.000;0;0.000;482;11.805
532;9;13.636;19;8.636;41;8.283;54;6.818;38;4.113;17;2.146;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;180;4.409
533;3;4.545;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
534;15;22.727;39;17.727;77;15.556;80;10.101;56;6.061;18;2.273;3;0.606;1;0.455;0;0.000;0;0.000;0;0.000;289;7.078
535;0;0.000;0;0.000;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
537;16;24.242;64;29.091;158;31.919;263;33.207;315;34.091;292;36.869;215;43.434;109;49.545;32;48.485;4;33.333;0;0.000;1468;35.954
538;12;18.182;53;24.091;126;25.455;182;22.980;156;16.883;77;9.722;21;4.242;2;0.909;0;0.000;0;0.000;0;0.000;629;15.405
540;9;13.636;21;9.545;30;6.061;30;3.788;21;2.273;9;1.136;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;121;2.964
